name,price,status,shipping,free_returns,items_sold
LED Desk Lamp Eye-Caring Reading Table Light Adjustable Neck Lamp w/ Clamp USB,$13.75,Brand New,0,True,78
HTTYD Dual Dragon Cave Epoxy Resin Lamp Toothless Light Fury Fire-Breathing,$119.00,Brand New,0,False,
2 Packs Cordless Table Lamp Portable LED Desk Lamp Touch Control Dimmable,$19.98,Brand New,0,False,
12LEDs Battery Powered Light Desk Table Lamp for Study Reading Camping Portable,$12.23,Brand New,0,True,
LED Desk Lamp Touch Sensor Reading Foldable Table Lamp Eye Caring Reading Light,$12.46,Brand New,0,True,494
LED Desk Lamp Adjustable Neck Lamp with Clamp Eye-Caring Reading Desk Light 5V,$13.99,Brand New,0,True,424
LED Desk Lamp with Clamp Double Head Desk Lamp with 360° Adjustable Gooseneck,$18.69,Brand New,0,True,
LED Desk Lamp Adjustable Swing Arm Lamp with Clamp Eye-Caring Reading Desk Light,$11.88,Brand New,0,True,509
Cordless LED Touch Sensor Table Lamp Rechargeable Dimmable Bar Desk Night Light,$11.99,Brand New,0,False,
LED Desk Lamp Adjustable Swing Arm Lamp with Clamp Eye-Caring Reading Desk Light,$21.98,Brand New,0,False,83
USB Clip-On LED Desk Lamp Rechargeable Reading Light for Dorm & Office,$8.99,Brand New,0,False,
LED Desk Lamp Touch Sensor Reading Foldable Table Lamp Eye Caring Reading Light,$12.46,Brand New,0,True,96
LED Desk Lamp with Clamp + Stand/Base Swing Arm Eye Care Aluminum,$39.98,Brand New,0,False,65
LED Screen Bar Light USB Computer Monitor Eye-Caring Reading Desk Lamp Dimmable,$14.98,Brand New,0,True,950
LED Desk Lamps Eye-Caring Reading Table Light Adjustable Neck Clip-on Lamp White,$13.75,Brand New,0,True,
"Rose Flower Style Tiffany Table Lamp Stained Glass Desk Light for Home Decor 18""",$99.98,Brand New,0,True,127
"Mainstays 17"" LED Catch-All Base & AC Outlet Adjustable Flexible Desk Lamp",$11.20,Brand New,0,False,15
LED Desk Lamp Adjustable Swing Arm Lamp with Clamp Eye-Caring Reading Desk Light,$10.64,Brand New,0,True,
LED Desk Lamp with Clamp Double Head Desk Lamp with 360° Adjustable Gooseneck,$18.69,Brand New,0,True,
Metal Desk Lamp Adjustable Swing Arm Interchangeable Base & Clamp Reading Light,$22.98,Brand New,0,False,65
LED Desk Lamp Adjustable Swing Arm Lamp with Clamp Eye-Caring Reading Desk Light,$13.59,Brand New,0,True,35
"Metal Swing Arm Desk Lamp, Multi-Joint, Adjustable Arm, White Finish",$20.98,Brand New,0,False,
LED Desk Lamp Adjustable Swing Arm Lamp with Clamp Eye-Caring Reading Desk Light,$13.25,Brand New,0,False,
1x Clip on Light LED 3 Color Modes Reading Desk Lamp 360°Rotatable Bedside Light,$9.99,Brand New,0,True,61
Dimmable LED Screen Bar Light USB Computer Monitor Eye-Caring Reading Desk Lamp,$14.98,Brand New,0,True,234
"LED Desk Lamp, Eye-Caring Table Lamps, Natural Light Protects Eyes, 5 Modes",$18.98,Brand New,0,False,160
Dimmable LED Desk Light Touch Sensor Table Bedside Reading Lamp USB Rechargeable,$12.42,Brand New,0,True,308
Cordless LED Touch Sensor Table Lamp Rechargeable Dimmable Bar Desk Night Light,$12.17,Brand New,0,False,82
KOK Lighting Glass Lamp  flower 6 Panels Gold Painted 18in Works Read Pls,$150.00,Pre-Owned,13.97,False,
USB Reading LED Light Clip-on Beside Bed Desk Table Book Lamp Dimmable Flexible,$9.99,Brand New,0,False,
LED Bluetooth Speaker Lamp with Wireless Charger – G-Shaped Touch Table Light,$129.99,Brand New,0,False,
Clip on Lights USB Desk Lamp Clamp Reading Light for Bed Headboard Bedside Table,$8.97,Brand New,0,True,
LED Desk Light Dimmable Bedside Reading Night Lamp USB Rechargeable Touch Sensor,$10.78,Brand New,0,True,516
LED Desk Lamp Adjustable Neck Lamp with Clamp Eye-Caring Reading Desk Light 5V,$33.00,Brand New,0,True,
LAOPAO LED Desk Lamp with Wireless Charger: Desk Lamps for Home Office Bedroom,$24.99,Brand New,0,False,
LED Desk Light Dimmable Reading Night Lamp USB Rechargeable Touch Sensor w/Clock,$22.41,Brand New,0,True,
LED Desk Lamp Adjustable Swing Arm Lamp with Clamp Eye-Caring Reading Desk Light,$15.49,Brand New,0,True,394
5W Dimmable Clip-On LED Desk Lamp Flexible Reading Light Black Friday,$13.99,Brand New,0,True,2565
"Tiffany Tulip Desk Lamp, 2-Light Stained Glass Style, Handmade Office Study Lamp",$154.69,Brand New,0,False,
USB Rechargeable LED Neck Light Book Light for Reading in Bed Crafting Camping,$11.98,Brand New,0,True,2645
Traditional Desk Lamp Swing Arm with USB Bronze Bell Shade for Office Table,$114.99,Brand New,0,False,
USB Reading Light Flexible LED Light Laptop Clip on Bed Desktop USA Black,$8.66,Brand New,0,True,94
USB Clip-On Lamp USB Desk Lamp Reading Table Lamp LED Light Library Clip Lamp,$12.99,Brand New,0,False,
LED Desk Lamp Eye-Caring Reading Desk Light Adjustable Swing Arm Lamp w/ Clamp,$13.59,Brand New,0,True,
Gooseneck Adjustable Lamp with Clamp Eye-Caring Reading Desk Light LED Desk Lamp,$8.80,Brand New,0,False,89
Bostitch Office LED Swing Arm Desk Lamp with Clamp Mount - 36'',$23.99,Brand New,0,False,64
OttLite LED Desk Lamp | Table Lamp Task Lamp | 3 Brightness Settings REV071519,$25.00,Brand New,0,False,
LED Desk Lamp with Clamp Double Head Desk Lamp with 360° Adjustable Gooseneck,$21.99,Brand New,0,True,57
LED Desk Lamp Touch Sensor Reading Foldable Table Lamp Eye Caring Reading Light,$10.30,Brand New,0,True,
Lamp Desk Architect Arm Swing Adjustable Light Table Clamp Black Metal USA,$16.98,Brand New,0,False,139
Dimmable Flexible USB Clip-On Led Desk Lamp Table Reading Book Lamp 5W Light USA,$13.95,Brand New,0,True,554
USB Reading Light Flexible LED Lamp Laptop Computer Clip On Bed Desk Table Light,$13.59,Brand New,0,True,
"VAVOFO LED Desk Lamp 6785-2700-7000K Adjustable Color Standard, Blue",$7.70,Brand New,0,False,
Flexible USB Reading LED Light Clip-on Beside Bed Desk Table Lamp Black Silver,$9.09,Brand New,0,False,
"2 pack of Room Essentials LED Clip-on Desk Lamp White Flexible 11"" Gooseneck",$21.99,Brand New,0,False,21
"Space Saving LED Desk Lamps,Touch Adjustment Swing Arm Desk Light with Clamp，Lam",$24.99,Brand New,0,False,16
LED Desk Light Dimmable Bedside Reading Night Lamp USB Rechargeable Touch Sensor,$5.90,Brand New,0,False,
LED Desk Lamp Adjustable Swing Arm Lamp with Clamp Eye-Caring Reading Desk Light,$11.89,Brand New,0,True,39
USB LED Hanging Neck Light Book Reading Work Lamp Knitting Light Outdoor Camping,$12.98,Brand New,0,True,177
"Arc Floor Lamps for Living Room with 3 Color Temperatures, Black Standing Lam...",$103.68,Brand New,0,True,
LED Desk Lamp for Home Office Eye-Care Architect Light with Clamp Double Head US,$21.99,Brand New,0,False,58
LED Desk Lamp with Clamp Double Head Desk Lamp with 360° Adjustable Gooseneck,$21.99,Brand New,0,False,50
LED Desk Lamp Touch Sensor Reading Foldable Table Lamp Eye Caring Reading Light,$9.27,Brand New,0,True,
LED Desk Lamp with 360° Adjustable Gooseneck with Clamp Double Head Desk Lamp US,$19.88,Brand New,0,True,
"Space Saving LED Desk Lamps,Touch Adjustment Swing Arm Desk Light with Clamp，Lam",$24.99,Brand New,0,False,16
Table Lamp Set of 2 Rechargeable Cordless Desk Lamp 5500mAh Battery Operated,$22.09,Brand New,0,False,
OttLite LED Desk Lamp | Table Lamp Task Lamp | 3 Brightness Settings REV071519,$25.00,Brand New,0,False,
"Led Desk Lamp - Desk Light for 31.5"" Tall - 5 Color Modes X 11 Brightness Levels",$28.61,Brand New,0,True,
LED Desk Lamp Adjustable Neck Lamp with Clamp Eye-Caring Reading Desk Light 5V,$14.70,Brand New,0,False,
5 Modes 72 LED Touch Sensor Desk Lamp Table Light Eye-Caring Reading USB Port,$20.58,Brand New,0,True,
Cordless LED Touch Sensor Table Lamp Rechargeable Dimmable Bar Desk Night Light,$13.49,Brand New,0,False,
Lamp Desk Architect Arm Swing Adjustable Light Table Clamp White Metal US,$16.58,Brand New,0,False,
LED Desk Lamp Touch Sensor Reading Foldable Table Lamp Eye Caring Reading Light,$10.65,Brand New,0,True,
LED Desk Lamp Adjustable Swing Arm Lamp with Clamp Eye-Caring Reading Desk Light,$32.99,Brand New,0,True,
GTA Style Floating Money Stack LED Lamp Dollar Cash Night Light Desk Decor Homes,$85.85,Brand New,0,False,
LED Desk Lamp Adjustable Swing Arm Lamp with Clamp Eye-Caring Reading Desk Light,$32.99,Brand New,0,True,
"Metal Swing Arm Desk Lamp, Multi-Joint, Adjustable Arm, White Finish",$25.99,Brand New,0,False,102
LED Desk Lamp With Clamp Flexible 4 Sections Swing Arm Eye-Caring LED TableLight,$20.29,Brand New,0,False,
LED Desk Lamp Touch Sensor Reading Foldable Table Lamp Eye Caring Reading Light,$9.99,Brand New,0,True,50
Mainstays LED Desk Lamp Catch-All Base AC Outlet Matte Black,$12.38,Brand New,0,True,
LED Lamp Laptop Computer Clip On Bed Desk Table USB Reading Light Flexible,$8.69,Brand New,0,True,69
"Simple Designs Basic Metal Desk Lamp, White, Brand New. Buy More & Save BIG!",$17.99,Brand New,0,False,27
Dimmable 5 Modes 7 Brightness Levels Touch Control LED Desk Lamps Table Light US,$20.25,Brand New,0,True,
LED Desk Lamp Flexible Gooseneck Table Lamp Touch Control Compact Portable Lamp,$10.51,Brand New,0,True,128
"Vintage Industrial Desk Lamp, Dimmable Bedside Light with ON/OFF Toggle Switch",$15.99,Brand New,6.0824,False,
VEVOR LED Desk Lamp with Clamp Double Head Desk Lamp with 360° Adjustable,$26.99,Brand New,0,True,
"Desk Lamp, Desk Light with Wireless Charger, USB Charging Port, Dimmable Office",$18.99,Brand New,0,True,
"LED Desk Lamp – Rechargeable, Foldable, Portable Light with 3 Brightness Levels",$10.88,Brand New,0,True,
