name,price,status,shipping,free_returns,items_sold
Rotary Mouse – Unique Wireless Mouse – Scroll 2.5X Faster,$9.90,Brand New,0,False,
Gaming Mouse White O 2 Wireless-2.4GHz Bluetooth Dual Wireless Modes BAMF 2.0,$59.99,Open Box,5.52,False,
3 Button PS2 Desktop Optical Scroll Mouse,$7.95,Brand New,0,False,198
Logitech Signature M650 L Left Wireless Mouse For Left Hand 910-006234 Graphite,$31.13,Brand New,5.0,True,
USB 2.0 Optical Wired Scroll Wheel Mouse  PC Laptop Notebook Desktop Black Mice,$4.99,Brand New,0,True,3855
2.4GHz Wireless Optical Mouse USB Mouse DPI Cordless Mice For PC Laptop,$3.59,Brand New,0,True,2432
2 Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI USA,$8.49,Brand New,0,True,966
2.4GHz USB Wireless Optical Mouse Mice for Apple Mac Macbook Pro Air PC White,$6.95,Brand New,0,True,8281
Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI lot,$291.19,Brand New,0,True,
2.4GHz Wireless Optical Mouse USB Rechargeable RGB Cordless Mice For PC Laptop,$7.69,Brand New,0,True,2343
Gaming Mouse 7 Button USB Wired LED Breathing Fire Button 3200 DPI Laptop PC,$7.95,Brand New,0,True,9497
RGB Bluetooth Wireless Mouse Rechargeable Ergonomic USB for PC Laptop iPad,$2.99,Brand New,0,False,
USB 2.0 Optical Wired Scroll Wheel Mouse PC Laptop Notebook Desktop Black Mice✅,$4.89,Brand New,0,False,
2.4GHz Wireless Optical Mouse USB Rechargeable RGB Cordless Mice For PC Laptop,$11.98,Brand New,0,True,543
Japanese style mouse pad,$35.00,Brand New,3.99,True,
Lenovo Lecoo MS103 USB Wired Mouse 1000 DPI,$15.75,Brand New,0,False,
2 Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI USA,$8.89,Brand New,0,True,261
Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI lot,$291.19,Brand New,0,True,
USB 2.0 Optical Wired Scroll Wheel Mouse Mice for PC Laptop Notebook Desktop Red,$5.99,Brand New,0,True,10000
Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI lot,$291.19,Brand New,0,True,
2.4GHz Wireless Optical Mouse USB Rechargeable RGB Cordless Mice For PC Laptop,$7.85,Brand New,0,True,6681
Logitech Wireless Mouse M185 includes USB nano receiver,$9.99,Brand New,0,True,154
USB 2.0 Optical Wired Scroll Wheel Mouse  PC Laptop Notebook Desktop Black Mice,$4.99,Brand New,0,True,559
Logitech - M720 Triathlon Wireless Optical Mouse - Wireless - Black,$44.99,Brand New,0,False,296
Gaming Mouse LED Breathing Fire 4 Button Silent USB Wired 1600 DPI Laptop PC USA,$6.07,Brand New,0,True,1878
Dual-M Bluetooth Wireless + USB Dongle Optical Mouse Rechargeable RGB PC Laptop,$3.41,Brand New,0,True,
2.4GHz Wireless Optical Mouse &USB Receiver Adjustable DPI for PC Laptop Desktop,$5.49,Brand New,0,True,10000
Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI lot*,$4.35,Brand New,0,False,15
Plug & Play Compact Rechargeable Wireless Bluetooth & 2.4Ghz Full Size Keyboard,$29.75,Brand New,0,True,9
HP M200 Wired Gaming Mouse 2400 MAX DPI RGB (BLACK/WHITE),$18.95,Brand New,0,False,
Lenovo Lecoo MS104 Wired Mouse 1600 MAX DPI,$14.00,Brand New,0,False,
"iMouse T60 2.4GHz USB Wireless Touchpad with Armrest, Ergonomic...",$29.99,Brand New,0,False,
