name,price,status,shipping,free_returns,items_sold
Music Hall MMF 3.3 HiFi Turntable with Premium Upgrades,$749.00,Brand New,0,True,20
Music Hall MMF 2.3 HiFi Turntable with Premium Upgrades,$549.00,Brand New,0,True,
Victrola Automatic Turntable - Black (VPT-800-BLK),$84.95,Open Box,0,False,21
Audio-Technica AT-LP60X Turntable - Black,$150.00,Brand New,22.55,False,
Vinyl Record Player Wireless Bluetooth Turntable HiFi System Magnetic Cartridge,$159.99,Brand New,0,False,158
Audio-Technica LP120XUSB-WB Direct-Drive Turntable (Analog & USB) White / Bronze,$479.00,Brand New,0,False,
JM-106 2 Speed Belt Drive Bluetooth Turntable Record Player w/ Audio Technica,$59.99,Pre-Owned,29.8324,False,
Audio-Technica AT-LP60X Turntable - Black,$179.00,Brand New,0,False,
Vinyl Record Player Turntable Bluetooth 3 Speed Built-in Speakers Retro Portable,$33.99,Open Box,0,True,
Audio-Technica AT-LP120-USB Direct-Drive Professional Turntable (USB and Analog),$350.00,Open Box,16.55,False,
"Bluetooth Record Player Belt-Driven 3-Speed Turntable, with Headphone Jack",$39.99,Brand New,0,False,94
Pro-Ject 2 Xperience Classic Turntable Olive Wood Carbon Arm – Needs Work,$499.00,Pre-Owned,21.96,False,
Fluance Reference High Fidelity Vinyl Turntable Record Player Ortofon Cartridge,$399.99,Brand New,0,False,
Victrola Stream Onyx - Wi-Fi Turntable (Works with Sonos),$385.50,Pre-Owned,23.1024,False,
"Belt Drive Turntable with Bluetooth Connectivity, Built-in Phono Pre-amp, USB Di",$186.99,Brand New,0,False,
STOKYO RECORD MATE Portable Record Player BLACK EDITION RM-1B,$345.00,Brand New,10.2223,False,
10-in-1 Bluetooth Record Player Multifunctional 3-Speed Turntable Vinyl Record,$109.99,Brand New,0,False,161
Bluetooth Vintage Vinyl Record Player Belt-Driven 3-Speed Turntable  Aux Input,$39.99,Brand New,0,False,985
"Bluetooth Record Player Turntable with Stereo Speaker, LP Vinyl to MP3 Converter",$99.99,Brand New,0,False,822
Fluance Reference High Fidelity Vinyl Turntable Record Player Ortofon Cartridge,$349.99,Brand New,0,False,
Bluetooth Record Player with Stereo Speakers Turntable for Vinyl to MP3,$64.99,Brand New,0,False,1524
Technics SL-L25 Linear Drive Turntable (Powers On) audio technica 3003 cartridge,$49.99,Parts Only,32.99,False,
Vinyl Record Player Bluetooth Vintage 3-Speed Portable Suitcase Turntables,$49.99,Brand New,0,True,
"Audio-Technica AT-LP120XBT Direct-Drive Turntable (w/ Bluetooth, USB)",$349.00,Pre-Owned,69.28,False,
Fluance Reference High Fidelity Vinyl Turntable Record Player Ortofon Cartridge,$549.99,Brand New,0,False,
M49 Blue Vinyl Record Player Turntable Bluetooth 3 Speed Built-in Speakers Retr,$33.99,Open Box,0,True,
Teac: TN-180BT Semi-Automatic Turntable w/ Bluetooth - Cherry,$239.99,Brand New,0,False,
Fluance Reference High Fidelity Vinyl Turntable Record Player Nagaoka Cartridge,$549.99,Brand New,0,False,
"Dayton Audio TT-1BTW Belt Drive Turntable with USB, Bluetooth,Audio Technica AT-",$279.98,Brand New,0,True,
Audio-Technica Stereo Turntable Black 33.3RPM 45RPM with The Black Keys Slipmat,$69.99,Pre-Owned,24.93,False,
"Belt Drive Turntable with Bluetooth Connectivity, Built-in Phono Pre-amp, USB Di",$156.42,Brand New,0,False,
MINT MCS 6401 turntable,$159.00,Pre-Owned,50.0,False,
Audio-Technica - AT-LP70X-BZ Fully Automatic Belt-Drive Turntable - Black/bronze,$249.99,Brand New,0,False,61
Garrard TurntableAT60 - good working condition,$125.00,Pre-Owned,,False,
Fluance RT85 Reference Turntable with Record Weight and Vinyl Cleaning Kit,$607.99,Brand New,0,False,
TECHPLAY RECORD PLAYER TURNTABLE BLUETOOTH BROADCAST AT3600L NEEDLE GHOST BLACK,$139.95,Brand New,22.912,False,
Yamaha YP-511 Direct Drive Record Player Turntable Confirmed Excellent Operation,$335.00,Pre-Owned,60.0,True,137
Sony Servo Lock/ Fully Automatic Stereo Turntable System PS-FL1 - Read,$119.99,Pre-Owned,14.892,True,
Victrola VPT-1500-BLK Onyx Bluetooth Hi-Res Audio Turntable (Black),$229.99,Open Box,24.18,False,
Pioneer XL-1550 Turntable Stereo Record Player Direct Drive Operation Confirmed,$334.20,Pre-Owned,0,False,
Crosley CR42D-PA Lancaster Turntable Bluetooth Record Player - Open Box Savings!,$89.95,Open Box,0,False,
JVC QL-A2 DIRECT DRIVE FG SERVO TURNTABLE AUTO-RETURN,$0.99,Pre-Owned,46.37,True,
Insignia- Bluetooth Stereo Turntable - Black,See price,Brand New,0,False,126
"NIB, ION Premier Stereo Turntable / Vinyl Record Player, C/No. 874",$99.95,Brand New,24.95,False,
Turntable Yamaha  P-751 Quartz Direct Drive Full Automatic,$79.99,Parts Only,18.72,False,
Pickering XLZ/7500S Stanton 981/LZS Top American Made Cartridge,$699.00,Open Box,55.45,False,
"Victrola Brighton Bluetooth Record Player – 3-Speed Turntable, Built-in Speakers",$27.49,Open Box,10.0,False,
"20cm 360° Electric Rotating Turntable, Rechargeable Low Noise Display Stand Show",$21.98,Brand New,0,True,205
Vinyl Record Player with Speakers Vintage Turntable  Vinyls Records Belt-Drive,$50.00,Open Box,0,False,
"Bluetooth Record Player Turntable with Stereo Speaker, LP Vinyl to MP3 Converter",$99.99,Brand New,0,True,51
"Fluance RT85N Reference HiFi Turntable, Nagaoka MP-110 Cartridge, Isolation Base",$687.99,Brand New,0,False,
M49 White Vinyl Record Player Turntable Bluetooth 3 Speed Built-in Speakers Retr,$33.99,Open Box,0,True,
Crosley Stave Record Player - Walnut/Gold,$174.95,Open Box,0,False,
Sony PS-212 Direct Drive Turntable Bench Tested Working Missing Left Foot READ,$85.00,Pre-Owned,0,False,
Crosley Cruiser Plus Portable Turntable with Bluetooth In/Out - Basketweave,$44.95,Open Box,0,False,
Crosley Cruiser Plus RSD Wicked For Good Record Player in Glinda Pink,$109.95,Brand New,0,False,
Audio-Technica AT-LP70XBT Automatic Belt-Drive Turntable Bluetooth Black Silver,$299.00,Brand New,0,True,
Crosley Mercury Turntable with Bluetooth In/Out - Cream Croc,$49.95,Open Box,0,False,
